maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
モンベル,レラドーム4,1122530,Rera Dome 4,現行,,240,210,123,5.0,2.40,小型,https://www.montbell.com/jp/en/products/detail/1122530,公式,2026-09-24,
モンベル,クロノスドーム4,1122719,Chronos Dome 4,現行,,240,210,125,5.0,2.40,小型,https://www.montbell.com/jp/en/products/detail/1122719,公式,2026-09-24,
モンベル,ムーンライトスクリーン 4,1122741,Moonlight Shelter 4,現行,,320,320,214,10.2,3.20,中型,https://www.montbell.com/jp/en/products/detail/1122741,公式,2026-09-24,
モンベル,ムーンライトスクリーン 2,1122742,Moonlight Shelter 2,現行,,260,260,193,6.8,2.60,小型,https://www.montbell.com/jp/en/products/detail/1122742,公式,2026-09-24,
モンベル,プライバシー シェルター,1122758,Privacy Shelter,現行,,300,300,250,9.0,3.00,中型,https://www.montbell.com/jp/en/products/detail/1122758,公式,2026-09-24,
モンベル,カモワッチテンチョ,1322003,Camouflage Watch Tencho,現行,,260,150,120,3.9,2.60,小型,https://www.montbell.com/jp/en/products/detail/1322003,公式,2026-09-24,
