maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
Naturehike,【新色展開】Naturehike Campfire ワンポールテント 高さ2.1m パップテント 焚き火可 難燃 煙突穴付き スカート ソロ,,,現行,,215,189,,4.1,2.15,小型,https://www.naturehike.co.jp/products/cnk2300zp025,二次,2026-09-24,寸法推定（公式の定員1名から算出。公式に使用時サイズの記載がないため）
Naturehike,Naturehike Dune10.9 ドームテント 2～3人用 UPF50+ ツールーム 煙突穴付き 自立式 二重層 設営簡単 高さ200,,,現行,,420,260,200,10.9,4.20,中型,https://www.naturehike.co.jp/products/cnk2300zp029,公式,2026-09-24,
Naturehike,【新作商品】Naturehike Dune10.9 ドームテント 2～3人用 UPF50+ ツールーム 煙突穴付き 自立式 二重層 設営簡単 高さ200,,,現行,,443,278,206,12.3,4.43,中型,https://www.naturehike.co.jp/products/cnk2300zp029-1,公式,2026-09-24,
Naturehike,Naturehike Cloud up Base 超軽量テント 1/2/3人用 二重層 コンパクト 自立式 プロフェッショナルテント,,,現行,,313,276,,8.6,3.13,中型,https://www.naturehike.co.jp/products/cnk2450ws032,二次,2026-09-24,寸法推定（公式の定員3名から算出。公式に使用時サイズの記載がないため）
Naturehike,【新作】Naturehike Summiture UL テント 超軽量 ピラミッドテント 2人用 登山テント 山岳テント 軽量 キャンプテン,,,現行,,260,260,125,6.8,2.60,小型,https://www.naturehike.co.jp/products/cnk2550ws032,公式,2026-09-24,
Naturehike,新作Naturehike Cubby ポップアップテント ワンタッチ 3人/4人用 簡易テント パッとサッとテントキューブ シルバーコーティング,,,現行,,313,276,,8.6,3.13,中型,https://www.naturehike.co.jp/products/cubby-6977465860262,二次,2026-09-24,寸法推定（公式の定員3名から算出。公式に使用時サイズの記載がないため）
Naturehike,Naturehike ワンタッチタープテント UVカット 3m×3m×2.2m 設営簡単 大型 防水 2~6人,,,現行,,300,300,220,9.0,3.00,中型,https://www.naturehike.co.jp/products/naturehike-6927595754337-6927595754344,公式,2026-09-24,範囲要確認:公式が人数バリエーション別に複数の使用サイズを併記（300x300x220cm。収納サイズ：100x25x25cm。重量：7.2kg（タープだけ）、11.2kg / 300x300x220cm。収納サイズ：100x25x25cm。重量：7.2kg（タープだけ）、11.2kg）
Naturehike,Naturehike Cloud Up2 テント 超軽量 2人用 20D 210T 二重層 耐水圧4000mm カップル 旅行 コンパクト,,,現行,,270,130,105,3.5,2.70,小型,https://www.naturehike.co.jp/products/nh17t001-t,二次,2026-09-24,Cloud Up2 展開サイズ 270×130×高105（二次情報で確認）
Naturehike,Naturehike Tagar 超軽量テント 2人用 前室あり ソロテント 耐水圧4000mm防風防水 防災用 野外用 1人用,,,現行,,268,237,,6.4,2.68,小型,https://www.naturehike.co.jp/products/nh17t140-j,二次,2026-09-24,範囲要確認:公式が人数バリエーション別に複数の使用サイズを併記（一人用（90+55+55）*210*105cm / 二人用（125+55+55）*210*105cm / 一人用（90+55+55）*210*105cm\n / 二人用（125+55+55）*210*105cm\n）;寸法推定（公式の定員2名から算出。公式に使用時サイズの記載がないため）
Naturehike,Naturehike Cloud Up3 テント 超軽量 3人用 防水 防風 旅行 二重層 プロフェッショナルテント,,,現行,,300,180,110,5.4,3.00,小型,https://www.naturehike.co.jp/products/nh18t030-t,公式,2026-09-24,
Naturehike,Naturehike Village5.0 ワンタッチ テント 2~4人用 ロッジ型 スカート付き 前後出入り可能 カーサイドテント,NH21ZP009,,現行,,470,210,190,9.9,4.70,中型,https://www.naturehike.co.jp/products/nh21zp009,公式,2026-09-24,
Naturehike,新作Naturehike Air6.3 エアーテント アップグレード版 綿布テント 2-4人用 テント TC素材 4シーズン ファミリーキャ,NH20ZP009,,現行,,210,200,,4.2,2.10,小型,https://www.naturehike.co.jp/products/tent-nh20zp009,公式,2026-09-24,
Naturehike,Naturehike EXtend4.8 ロッジテント A型フレームテント 綿布テント 2~3人用 TC 通気性 二重層 出入り口 豪華 設,NH20ZP011,,現行,,235,210,145,4.9,2.35,小型,https://www.naturehike.co.jp/products/tent-nh20zp011,公式,2026-09-24,
Naturehike,Naturehike Campfire六角形 ワンポールテント ４人用 天井高240cm,NH20ZP013,,現行,,346,240,,8.3,3.46,小型,https://www.naturehike.co.jp/products/tent-nh20zp013,公式,2026-09-24,
Naturehike,Naturehike Campfire 八角形 ワンポールテント 5~8人用 高280cm 煙突穴付き 四季テント,NH20ZP014,,現行,,482,482,280,23.2,4.82,大型,https://www.naturehike.co.jp/products/tent-nh20zp014,公式,2026-09-24,
Naturehike,Naturehike Hammurabi テント ツールーム TC素材 煙突口付き 撥水加工 シェルター マルチ組み立て方テント 新型構造,NH22CH001,,現行,,576,250,170,14.4,5.76,中型,https://www.naturehike.co.jp/products/tent-nh22ch001,公式,2026-09-24,
