maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
WAQ,WAQ AIR VISTA エアテント 大型テント エアフレームテント 設営簡単,waq-avs1,,現行,,560,380,230,21.3,5.60,大型,https://waq-online.com/products/waq-avs1,公式,2026-09-24,
WAQ,WAQ EASE POP TENT UVカット フルクローズ対応 ワンタッチテント,waq-ept1,,現行,,220,145,130,3.2,2.20,小型,https://waq-online.com/products/waq-ept1,公式,2026-09-24,
WAQ,WAQ Paramount Dome ソロ〜ファミリー用ドーム型シェルター,waq-pdm1,,現行,,410,355,195,14.6,4.10,中型,https://waq-online.com/products/waq-pdm1,公式,2026-09-24,
WAQ,Paramount Dome フルオプションセット (本体/インナーテント/拡張ベスティブルの3点セット),waq-pdm1set_,,現行,,410,355,195,14.6,4.10,中型,https://waq-online.com/products/waq-pdm1set_,公式,2026-09-24,範囲要確認:セット品。掲載サイズがどの構成要素のものか要確認
WAQ,ソロテント WAQ Alpha T/C ソロ用ティピテント,waq-tct1,,現行,,240,240,150,5.8,2.40,小型,https://waq-online.com/products/waq-tct1,公式,2026-09-24,
WAQ,WAQ Alpha TC/FT ファミリーテント ワンポールテント,waq-tcft1,,現行,,400,400,250,16.0,4.00,中型,https://waq-online.com/products/waq-tcft1,公式,2026-09-24,
WAQ,WAQ ASTRA CT フライシート コット用テント （レギュラー/ワイド),waq-act1-f,,現行,,280,280,129,7.8,2.80,小型,https://waq-online.com/products/waq-act1-f,公式,2026-09-24,
